time	fnum	flen
14:40:00.902	5849	1514
14:40:00.903	5857	1514
14:40:00.904	5870	1202
14:40:00.905	5880	1514
14:40:00.906	5887	446
14:40:00.907	5893	1514
14:40:00.908	5906	1514
14:40:00.909	5919	430
14:40:00.910	5930	62
14:40:00.911	5940	1514
14:40:00.912	5952	630
14:40:00.913	5959	62
14:40:00.914	5967	1206
14:40:00.915	5981	1514
14:40:00.916	5991	1514
14:40:00.917	5995	618
14:40:00.918	5997	618
14:40:00.919	5999	630
14:40:00.920	6003	1214
14:40:00.921	6007	1514
14:40:00.922	6018	62
14:40:00.923	6024	1514
14:40:00.924	6034	1202
14:40:00.925	6044	1514
14:40:00.926	6048	1202
14:40:00.927	6057	1514
14:40:00.928	6068	446
14:40:00.929	6069	1514
14:40:00.931	6073	1514
14:40:00.932	6079	1514
14:40:00.933	6082	430
14:40:00.934	6087	430
14:40:00.935	6093	634
14:40:00.936	6105	1514
14:40:00.937	6114	1214
14:40:00.938	6122	62
14:40:00.939	6124	62
14:40:00.940	6134	430
14:40:00.941	6148	1514
14:40:00.942	6158	1514
14:40:00.943	6171	446
14:40:00.944	6179	1206
14:40:00.945	6191	446
14:40:00.946	6206	430
14:40:00.947	6217	62
14:40:00.948	6219	62
14:40:00.949	6222	618
14:40:00.950	6226	1214
14:40:00.951	6229	62
14:40:00.953	6231	1190
14:40:00.954	6237	62
14:40:00.955	6241	62
14:40:00.956	6243	446
14:40:00.957	6246	430
14:40:00.958	6258	634
14:40:00.959	6264	446
14:40:00.960	6272	1514
14:40:00.961	6292	430
14:40:00.962	6301	62
14:40:00.963	6313	630
14:40:00.964	6317	1202
14:40:00.965	6319	1214
14:40:00.966	6326	62
14:40:00.967	6332	62
14:40:00.968	6345	1514
14:40:00.969	6350	1514
14:40:00.970	6366	1514
14:40:00.971	6377	62
14:40:00.972	6382	1190
14:40:00.973	6383	62
14:40:00.974	6388	62
14:40:00.975	6391	1514
14:40:00.976	6400	1190
14:40:00.977	6409	446
14:40:00.978	6418	446
14:40:00.979	6421	446
14:40:00.980	6424	430
14:40:00.981	6435	618
14:40:00.982	6437	1202
14:40:00.983	6439	1214
14:40:00.984	6442	1202
14:40:00.985	6447	1514
14:40:00.986	6454	1514
14:40:00.987	6465	1514
14:40:00.988	6477	1514
14:40:00.989	6483	62
14:40:00.990	6485	446
14:40:00.991	6497	634
14:40:00.992	6502	1190
14:40:00.993	6507	446
14:40:00.994	6509	1514
14:40:00.995	6519	1202
14:40:00.996	6523	1514
14:40:00.997	6531	1514
14:40:00.998	6539	1514
14:40:00.999	6549	1514
14:40:01.000	6557	446
14:40:01.001	6561	62
14:40:01.002	6567	1514
14:40:01.003	6574	646
14:40:01.004	6580	62
14:40:01.005	6589	62
14:40:01.007	6591	1202
14:40:01.008	6596	446
14:40:01.009	6603	646
14:40:01.010	6618	62
14:40:01.011	6628	1514
14:40:01.012	6632	446
14:40:01.013	6641	62
14:40:01.014	6654	1514
14:40:01.015	6668	446
14:40:01.016	6675	446
14:40:01.017	6681	1514
14:40:01.018	6692	446
14:40:01.019	6699	1514
14:40:01.020	6711	1218
14:40:01.021	6718	630
14:40:01.022	6729	630
14:40:01.023	6731	1190
14:40:01.024	6733	1190
14:40:01.025	6736	446
14:40:01.026	6741	62
14:40:01.027	6754	1514
14:40:01.028	6761	1514
14:40:01.029	6766	62
14:40:01.030	6772	446
14:40:01.031	6780	62
14:40:01.032	6783	62
14:40:01.033	6787	1514
14:40:01.034	6795	430
14:40:01.035	6802	634
14:40:01.036	6809	1202
14:40:01.037	6814	1218
14:40:01.038	6834	1514
14:40:01.039	6840	62
14:40:01.040	6844	1214
14:40:01.041	6847	62
14:40:01.042	6850	62
14:40:01.043	6857	446
14:40:01.044	6863	1514
14:40:01.045	6868	62
14:40:01.046	6878	634
14:40:01.047	6885	1514
14:40:01.048	6897	1190
14:40:01.049	6898	62
14:40:01.050	6902	1218
14:40:01.051	6909	634
14:40:01.052	6917	430
14:40:01.053	6929	430
14:40:01.054	6935	1218
14:40:01.055	6938	1514
14:40:01.056	6941	446
14:40:01.057	6950	1514
14:40:01.058	6956	1514
14:40:01.059	6961	1514
14:40:01.060	6972	446
14:40:01.061	6976	430
14:40:01.062	6986	646
14:40:01.063	6990	1514
14:40:01.064	6994	630
14:40:01.065	7005	634
14:40:01.066	7010	446
14:40:01.067	7019	430
14:40:01.068	7033	430
14:40:01.069	7044	1514
14:40:01.070	7054	1514
14:40:01.071	7066	62
14:40:01.072	7076	62
14:40:01.074	7081	446
14:40:01.075	7085	1514
14:40:01.076	7096	446
14:40:01.077	7102	1514
14:40:01.078	7107	1190
14:40:01.079	7110	1202
14:40:01.080	7114	1218
14:40:01.081	7126	1218
14:40:01.082	7129	1514
14:40:01.083	7133	62
14:40:01.084	7137	1202
14:40:01.085	7139	1514
14:40:01.086	7147	1514
14:40:01.087	7155	1514
